Episode,Total Reward,Epsilon
1,40830.0,0.995
2,38650.0,0.990025
3,38650.0,0.985074875
4,43860.0,0.9801495006250001
5,40830.0,0.9752487531218751
6,43860.0,0.9703725093562657
7,38650.0,0.9655206468094844
8,43860.0,0.960693043575437
9,45270.0,0.9558895783575597
10,44210.0,0.9511101304657719
11,13680.0,0.946354579813443
12,-230.0,0.9416228069143757
13,43860.0,0.9369146928798039
14,46740.0,0.9322301194154049
15,43860.0,0.9275689688183278
16,44210.0,0.9229311239742362
17,43860.0,0.918316468354365
18,13680.0,0.9137248860125932
19,-230.0,0.9091562615825302
20,43860.0,0.9046104802746175
21,-230.0,0.9000874278732445
22,21750.0,0.8955869907338783
23,40830.0,0.8911090557802088
24,43860.0,0.8866535105013078
25,-230.0,0.8822202429488013
26,34470.0,0.8778091417340573
27,28730.0,0.8734200960253871
28,21750.0,0.8690529955452602
29,46740.0,0.8647077305675338
30,28730.0,0.8603841919146962
31,23400.0,0.8560822709551227
32,-230.0,0.851801859600347
33,-230.0,0.8475428503023453
34,43860.0,0.8433051360508336
35,40830.0,0.8390886103705794
36,45270.0,0.8348931673187264
37,31760.0,0.8307187014821328
38,-230.0,0.8265651079747222
39,47560.0,0.8224322824348486
40,31760.0,0.8183201210226743
41,28120.0,0.8142285204175609
42,42880.0,0.810157377815473
43,26760.0,0.8061065909263957
44,43860.0,0.8020760579717637
45,-230.0,0.798065677681905
46,43860.0,0.7940753492934954
47,43860.0,0.7901049725470279
48,-230.0,0.7861544476842928
49,43860.0,0.7822236754458713
50,43860.0,0.778312557068642
51,13680.0,0.7744209942832988
52,47560.0,0.7705488893118823
53,40830.0,0.7666961448653229
54,43860.0,0.7628626641409962
55,-230.0,0.7590483508202912
56,28120.0,0.7552531090661897
57,40830.0,0.7514768435208588
58,28730.0,0.7477194593032545
59,38650.0,0.7439808620067382
60,44210.0,0.7402609576967045
61,40830.0,0.736559652908221
62,43860.0,0.7328768546436799
63,43860.0,0.7292124703704616
64,43860.0,0.7255664080186093
65,48500.0,0.7219385759785162
66,-230.0,0.7183288830986236
67,28730.0,0.7147372386831305
68,40830.0,0.7111635524897149
69,21750.0,0.7076077347272662
70,13680.0,0.7040696960536299
71,43860.0,0.7005493475733617
72,-230.0,0.697046600835495
73,43860.0,0.6935613678313175
74,43860.0,0.6900935609921609
75,34470.0,0.6866430931872001
76,38830.0,0.6832098777212641
77,26760.0,0.6797938283326578
78,44210.0,0.6763948591909945
79,46740.0,0.6730128848950395
80,23400.0,0.6696478204705644
81,43860.0,0.6662995813682115
82,30640.0,0.6629680834613705
83,43860.0,0.6596532430440636
84,43860.0,0.6563549768288433
85,30640.0,0.653073201944699
86,28120.0,0.6498078359349755
87,43860.0,0.6465587967553006
88,38830.0,0.6433260027715241
89,-230.0,0.6401093727576664
90,23400.0,0.6369088258938781
91,43860.0,0.6337242817644086
92,-230.0,0.6305556603555866
93,-230.0,0.6274028820538087
94,30640.0,0.6242658676435396
95,43860.0,0.6211445383053219
96,26760.0,0.6180388156137953
97,-230.0,0.6149486215357263
98,43860.0,0.6118738784280476
99,-230.0,0.6088145090359074
100,43860.0,0.6057704364907278
