Episode,Total Reward,Epsilon
1,614560.0,0.995
2,585700.0,0.990025
3,784770.0,0.985074875
4,663180.0,0.9801495006250001
5,765950.0,0.9752487531218751
6,783340.0,0.9703725093562657
7,650840.0,0.9655206468094844
8,549540.0,0.960693043575437
9,618070.0,0.9558895783575597
10,486030.0,0.9511101304657719
11,553180.0,0.946354579813443
12,635770.0,0.9416228069143757
13,679190.0,0.9369146928798039
14,673460.0,0.9322301194154049
15,565670.0,0.9275689688183278
16,629520.0,0.9229311239742362
17,611700.0,0.918316468354365
18,734710.0,0.9137248860125932
19,636290.0,0.9091562615825302
20,528000.0,0.9046104802746175
21,614460.0,0.9000874278732445
22,493950.0,0.8955869907338783
23,632940.0,0.8911090557802088
24,701360.0,0.8866535105013078
25,506110.0,0.8822202429488013
26,498090.0,0.8778091417340573
27,715230.0,0.8734200960253871
28,697720.0,0.8690529955452602
29,584960.0,0.8647077305675338
30,635300.0,0.8603841919146962
31,584620.0,0.8560822709551227
32,464480.0,0.851801859600347
33,462040.0,0.8475428503023453
34,518580.0,0.8433051360508336
35,544790.0,0.8390886103705794
36,573520.0,0.8348931673187264
37,533410.0,0.8307187014821328
38,514290.0,0.8265651079747222
39,523560.0,0.8224322824348486
40,475610.0,0.8183201210226743
41,499960.0,0.8142285204175609
42,551380.0,0.810157377815473
43,559950.0,0.8061065909263957
44,492930.0,0.8020760579717637
45,496160.0,0.798065677681905
46,600000.0,0.7940753492934954
47,499720.0,0.7901049725470279
48,391940.0,0.7861544476842928
49,584180.0,0.7822236754458713
50,491960.0,0.778312557068642
51,597160.0,0.7744209942832988
52,535240.0,0.7705488893118823
53,523340.0,0.7666961448653229
54,602480.0,0.7628626641409962
55,652910.0,0.7590483508202912
56,474490.0,0.7552531090661897
57,443660.0,0.7514768435208588
58,587750.0,0.7477194593032545
59,582720.0,0.7439808620067382
60,462360.0,0.7402609576967045
61,461220.0,0.736559652908221
62,566130.0,0.7328768546436799
63,626870.0,0.7292124703704616
64,522840.0,0.7255664080186093
65,563430.0,0.7219385759785162
66,539060.0,0.7183288830986236
67,578720.0,0.7147372386831305
68,646260.0,0.7111635524897149
69,554320.0,0.7076077347272662
70,635160.0,0.7040696960536299
71,395600.0,0.7005493475733617
72,472440.0,0.697046600835495
73,544150.0,0.6935613678313175
74,331530.0,0.6900935609921609
75,521430.0,0.6866430931872001
76,606100.0,0.6832098777212641
77,517240.0,0.6797938283326578
78,514100.0,0.6763948591909945
79,513700.0,0.6730128848950395
80,247990.0,0.6696478204705644
81,553860.0,0.6662995813682115
82,508140.0,0.6629680834613705
83,471630.0,0.6596532430440636
84,588340.0,0.6563549768288433
85,435080.0,0.653073201944699
86,625450.0,0.6498078359349755
87,667890.0,0.6465587967553006
88,665250.0,0.6433260027715241
89,413470.0,0.6401093727576664
90,501520.0,0.6369088258938781
91,459350.0,0.6337242817644086
92,304240.0,0.6305556603555866
93,466250.0,0.6274028820538087
94,330210.0,0.6242658676435396
95,504040.0,0.6211445383053219
96,278680.0,0.6180388156137953
97,505880.0,0.6149486215357263
98,467670.0,0.6118738784280476
99,341820.0,0.6088145090359074
100,557770.0,0.6057704364907278
101,341600.0,0.6027415843082742
102,471330.0,0.5997278763867329
103,515300.0,0.5967292370047992
104,346780.0,0.5937455908197752
105,575290.0,0.5907768628656763
106,343540.0,0.5878229785513479
107,499250.0,0.5848838636585911
108,431140.0,0.5819594443402982
109,431370.0,0.5790496471185967
110,471430.0,0.5761543988830038
111,226910.0,0.5732736268885887
112,562020.0,0.5704072587541458
113,323240.0,0.567555222460375
114,540180.0,0.5647174463480732
115,523880.0,0.5618938591163328
116,468560.0,0.5590843898207511
117,386120.0,0.5562889678716474
118,359520.0,0.5535075230322891
119,392490.0,0.5507399854171277
120,478850.0,0.547986285490042
121,483670.0,0.5452463540625918
122,509160.0,0.5425201222922789
123,370150.0,0.5398075216808175
124,477370.0,0.5371084840724134
125,530050.0,0.5344229416520513
126,276650.0,0.531750826943791
127,388560.0,0.5290920728090721
128,457510.0,0.5264466124450268
129,486110.0,0.5238143793828016
130,498970.0,0.5211953074858876
131,380330.0,0.5185893309484582
132,412520.0,0.5159963842937159
133,495540.0,0.5134164023722473
134,622980.0,0.510849320360386
135,410040.0,0.5082950737585841
136,513750.0,0.5057535983897912
137,303450.0,0.5032248303978422
138,420040.0,0.500708706245853
139,428990.0,0.4982051627146237
140,580040.0,0.49571413690105054
141,241990.0,0.4932355662165453
142,368460.0,0.4907693883854626
143,346470.0,0.4883155414435353
144,525930.0,0.4858739637363176
145,444640.0,0.483444593917636
146,531930.0,0.4810273709480478
147,410310.0,0.47862223409330756
148,299500.0,0.47622912292284103
149,462540.0,0.4738479773082268
150,367940.0,0.47147873742168567
151,403420.0,0.46912134373457726
152,394450.0,0.46677573701590436
153,224450.0,0.46444185833082485
154,462990.0,0.46211964903917074
155,325950.0,0.4598090507939749
156,267450.0,0.457510005540005
157,371930.0,0.45522245551230495
158,319980.0,0.4529463432347434
159,386160.0,0.4506816115185697
160,454910.0,0.4484282034609769
161,249780.0,0.446186062443672
162,261950.0,0.4439551321314536
163,489230.0,0.4417353564707963
164,213480.0,0.43952667968844233
165,230510.0,0.43732904629000013
166,454230.0,0.4351424010585501
167,437340.0,0.43296668905325736
168,189140.0,0.43080185560799106
169,320620.0,0.4286478463299511
170,413550.0,0.42650460709830135
171,395780.0,0.42437208406280985
172,350090.0,0.4222502236424958
173,346190.0,0.42013897252428334
174,293080.0,0.4180382776616619
175,313760.0,0.4159480862733536
176,310730.0,0.41386834584198684
177,276490.0,0.4117990041127769
178,230780.0,0.40974000909221303
179,327830.0,0.40769130904675194
180,236850.0,0.40565285250151817
181,309870.0,0.4036245882390106
182,305630.0,0.4016064652978155
183,396100.0,0.3995984329713264
184,294920.0,0.3976004408064698
185,343280.0,0.39561243860243744
186,337790.0,0.3936343764094253
187,224300.0,0.39166620452737816
188,188000.0,0.3897078735047413
189,268260.0,0.3877593341372176
190,438780.0,0.3858205374665315
191,212540.0,0.38389143477919885
192,304450.0,0.3819719776053028
193,271640.0,0.3800621177172763
194,356540.0,0.37816180712868996
195,302720.0,0.37627099809304654
196,381920.0,0.3743896431025813
197,291770.0,0.37251769488706843
198,342000.0,0.3706551064126331
199,348250.0,0.36880183088056995
200,396880.0,0.3669578217261671
201,240370.0,0.36512303261753626
202,452780.0,0.3632974174544486
203,303040.0,0.3614809303671764
204,131610.0,0.3596735257153405
205,337300.0,0.3578751580867638
206,210730.0,0.35608578229633
207,137320.0,0.3543053533848483
208,189330.0,0.35253382661792404
209,284360.0,0.3507711574848344
210,235570.0,0.34901730169741024
211,265320.0,0.3472722151889232
212,266020.0,0.3455358541129786
213,281950.0,0.3438081748424137
214,395270.0,0.3420891339682016
215,360350.0,0.3403786882983606
216,122940.0,0.3386767948568688
217,280260.0,0.33698341088258443
218,262060.0,0.3352984938281715
219,371440.0,0.33362200135903064
220,283940.0,0.33195389135223546
221,129380.0,0.3302941218954743
222,336060.0,0.32864265128599696
223,381900.0,0.326999438029567
224,406810.0,0.3253644408394192
225,324260.0,0.3237376186352221
226,300670.0,0.322118930542046
227,227120.0,0.32050833588933575
228,318350.0,0.31890579420988907
229,477510.0,0.3173112652388396
230,74940.0,0.3157247089126454
231,367120.0,0.3141460853680822
232,468140.0,0.3125753549412418
233,149580.0,0.31101247816653554
234,504320.0,0.30945741577570285
235,308860.0,0.3079101286968243
236,326170.0,0.3063705780533402
237,119940.0,0.30483872516307353
238,421600.0,0.3033145315372582
239,422460.0,0.3017979588795719
240,237610.0,0.30028896908517405
241,434050.0,0.2987875242397482
242,365580.0,0.29729358661854943
243,291630.0,0.29580711868545667
244,193800.0,0.2943280830920294
245,348510.0,0.29285644267656924
246,190640.0,0.2913921604631864
